2011,2012,2013
91.0843831152921,92.51349554507789,84.04929009615562
262.557685156288,278.45797225452696,282.9781541299302
362.1219802133703,389.11500450573016,413.168336882747
2264.425957390562,2383.1058906835474,1899.812058060897
3430.854940282641,3553.0433432782966,3593.538936467185
856.5638102768421,914.559817740171,920.7058426677686
7139.881201922141,7602.1265888595235,6817.990778477551
593.7958282813498,635.7581112068702,625.5599315923076
751.3494717110641,785.7066595668871,834.0721152778792
3675.637524161069,3990.549937355357,4191.640758927329
1279.7848515634882,1308.4574082835459,1334.9794376600835
1342.6796076516255,1410.3015314118127,1450.1537087289894
2577.322606591059,2754.523650144604,2865.6797259935465
3631.534992171225,3830.45842809808,4021.5091351026035
487.03484971018617,513.4999286256364,539.4813666621537
1057.5528286588392,1117.1816388288757,1178.6516044355312
1970.5553442772257,2083.9895401675276,2197.822045386634
3033.8847234313575,3261.0000795036185,3383.4217655150246
2611.01161556669,2732.6545355532962,2853.5180579606676
316.2650004738746,338.09891752720165,341.8702423277385
1016.8502886792762,1061.6403424332307,1079.026881391237
4574.468410481084,4813.864890047214,5033.965987329205
169.78422766066063,170.80532629556015,163.44176051133513
202.3715723445605,209.6136290454161,213.5130433400482
278.38344605527806,289.1683978751463,293.9846560770913
351.4491138391779,371.82239355469716,377.3938803556617
453.84372876937493,499.4359987693086,473.03162304591893
182.6761412931107,199.50485994011825,192.3560950569294
705.369695249234,748.2189481981133,722.5014626785386
250.67709870189188,255.99720146761007,247.84927592956754
